image_id,source_label,x_min,y_min,x_max,y_max
00aca42a24e4ea6066cca2546150c36e.png,Aortic enlargement,260.8721202003339,127.958401039974,312.1575959933222,186.0305492362691
00aca42a24e4ea6066cca2546150c36e.png,Aortic enlargement,256.5983305509182,129.123171920702,311.3028380634391,183.20181995450116
00aca42a24e4ea6066cca2546150c36e.png,Lung Opacity,376.2644407345576,281.7081572960676,431.1398998330551,334.62203444913877
00aca42a24e4ea6066cca2546150c36e.png,Pleural thickening,140.18030050083473,55.74260643483913,192.83338898163606,76.04289892752682
00aca42a24e4ea6066cca2546150c36e.png,Aortic enlargement,257.45308848080134,131.45271368215796,313.01235392320535,202.67013324666885
00aca42a24e4ea6066cca2546150c36e.png,Lung Opacity,57.61068447412354,166.0630484237894,135.56460767946578,331.62690932726684
00aca42a24e4ea6066cca2546150c36e.png,Pleural effusion,401.5652754590985,290.52713682157946,437.2941569282137,364.2404939876503
00aca42a24e4ea6066cca2546150c36e.png,Cardiomegaly,186.8500834724541,274.5531361715957,391.8210350584307,340.1130971725707
00aca42a24e4ea6066cca2546150c36e.png,Pleural thickening,341.7322203672788,65.72635684107898,379.85442404006676,92.84887877803055
00bcb82818ea83d6a86df241762cd7d0.png,Aortic enlargement,232.75,112.8448,285.75,176.33280000000002
00bcb82818ea83d6a86df241762cd7d0.png,Other lesion,175.25,133.12,214.0,315.1872
00bcb82818ea83d6a86df241762cd7d0.png,Cardiomegaly,166.0,253.54240000000001,355.5,320.71680000000003
00bcb82818ea83d6a86df241762cd7d0.png,Pleural thickening,381.0,302.8992,416.75,346.3168
00bcb82818ea83d6a86df241762cd7d0.png,Pleural effusion,381.0,302.8992,416.75,346.3168
01a3c3d994d85ce5634d2d13c03fd4b0.png,Nodule/Mass,140.66666666666666,169.66666666666666,196.5,218.16666666666666
01a3c3d994d85ce5634d2d13c03fd4b0.png,Nodule/Mass,143.33333333333331,166.0,193.66666666666666,218.16666666666666
01a3c3d994d85ce5634d2d13c03fd4b0.png,Pleural thickening,173.0,52.33333333333333,242.66666666666666,101.0
01a3c3d994d85ce5634d2d13c03fd4b0.png,Consolidation,140.66666666666666,169.66666666666666,196.5,218.16666666666666
01a3c3d994d85ce5634d2d13c03fd4b0.png,Pleural thickening,111.83333333333333,243.33333333333331,177.16666666666666,304.3333333333333
01a3c3d994d85ce5634d2d13c03fd4b0.png,Lung Opacity,126.0,163.0,229.66666666666666,281.8333333333333
01a3c3d994d85ce5634d2d13c03fd4b0.png,Pleural thickening,114.66666666666666,52.33333333333333,171.83333333333331,242.16666666666666
01a3c3d994d85ce5634d2d13c03fd4b0.png,Nodule/Mass,135.33333333333331,166.83333333333331,198.16666666666666,215.33333333333331
01a3c3d994d85ce5634d2d13c03fd4b0.png,Pleural thickening,138.33333333333331,51.33333333333333,236.33333333333331,152.5
01a3c3d994d85ce5634d2d13c03fd4b0.png,Consolidation,135.33333333333331,166.83333333333331,198.16666666666666,215.33333333333331
01a3c3d994d85ce5634d2d13c03fd4b0.png,Lung Opacity,135.33333333333331,166.83333333333331,198.16666666666666,215.33333333333331
01a3c3d994d85ce5634d2d13c03fd4b0.png,Lung Opacity,131.16666666666666,214.83333333333331,223.16666666666666,278.66666666666663
01a3c3d994d85ce5634d2d13c03fd4b0.png,Pleural effusion,110.0,258.0,229.66666666666666,313.0
01a3c3d994d85ce5634d2d13c03fd4b0.png,Pleural effusion,117.5,248.66666666666666,221.16666666666666,347.3333333333333
01b0510a8d3b0860429536653db5eb21.png,Pleural thickening,360.88888888888886,282.6666666666667,404.4444444444444,307.02222222222224
01b0510a8d3b0860429536653db5eb21.png,Pulmonary fibrosis,124.66666666666666,238.57777777777778,149.77777777777777,246.4
01b0510a8d3b0860429536653db5eb21.png,Pleural thickening,418.66666666666663,304.7111111111111,430.0,332.26666666666665
01b0510a8d3b0860429536653db5eb21.png,Aortic enlargement,260.22222222222223,128.88888888888889,315.1111111111111,170.84444444444446
01b0510a8d3b0860429536653db5eb21.png,Pleural effusion,418.66666666666663,304.7111111111111,430.0,332.26666666666665
01b0510a8d3b0860429536653db5eb21.png,Aortic enlargement,256.88888888888886,126.04444444444445,311.55555555555554,172.0888888888889
01b0510a8d3b0860429536653db5eb21.png,Pleural thickening,335.77777777777777,280.8888888888889,404.0,301.33333333333337
01b0510a8d3b0860429536653db5eb21.png,Other lesion,335.77777777777777,280.8888888888889,404.0,301.33333333333337
038a7c88fcd819549f430c1fd907658c.png,Pulmonary fibrosis,88.32748538011695,141.70429715950473,157.94152046783626,215.91260014566643
038a7c88fcd819549f430c1fd907658c.png,Pulmonary fibrosis,92.63157894736841,141.14493809176986,167.48538011695905,221.31973780043703
038a7c88fcd819549f430c1fd907658c.png,Cardiomegaly,182.64327485380116,362.83758193736344,397.2865497076023,447.8601602330663
038a7c88fcd819549f430c1fd907658c.png,Cardiomegaly,187.50877192982455,349.59941733430446,392.79532163742687,446.9278951201748
038a7c88fcd819549f430c1fd907658c.png,Pulmonary fibrosis,88.51461988304094,137.22942461762565,184.140350877193,238.10050983248362
039c6997248b3a6ba3c909af35fce0eb.png,Pulmonary fibrosis,408.3809523809524,299.33858267716533,461.02164502164504,327.81102362204723
039c6997248b3a6ba3c909af35fce0eb.png,Cardiomegaly,175.37662337662337,298.3307086614173,438.85714285714283,416.503937007874
039c6997248b3a6ba3c909af35fce0eb.png,Aortic enlargement,264.034632034632,118.67716535433071,326.3722943722944,164.78740157480314
